Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
57380936 -0,684 1,480 0,728 -0,773 1,501 0,838 
57381042 -0,678 1,481 0,721 -0,769 1,501 0,845 
57381089 -0,674 1,481 0,714 -0,767 1,501 0,849 
57381230 -0,664 1,481 0,701 -0,762 1,500 0,862 
57381288 -0,660 1,481 0,696 -0,762 1,500 0,862 
57381464 -0,648 1,482 0,679 -0,758 1,500 0,873 
57381547 -0,642 1,482 0,672 -0,755 1,500 0,876 
57381634 -0,636 1,482 0,663 -0,754 1,500 0,877 
57381767 -0,627 1,483 0,651 -0,750 1,497 0,874 
57381818 -0,624 1,483 0,647 -0,749 1,496 0,872 
57381923 -0,619 1,483 0,640 -0,746 1,494 0,869 
57381986 -0,614 1,483 0,633 -0,743 1,492 0,865 
57382134 -0,605 1,483 0,621 -0,734 1,487 0,851 
57382260 -0,598 1,484 0,613 -0,725 1,487 0,837 
57382376 -0,591 1,484 0,608 -0,717 1,487 0,824 
57382456 -0,589 1,484 0,606 -0,712 1,488 0,816 
57382514 -0,583 1,484 0,605 -0,704 1,491 0,803 
57382651 -0,574 1,485 0,605 -0,692 1,494 0,785 
57382760 -0,565 1,485 0,605 -0,682 1,497 0,771 
57382867 -0,557 1,485 0,605 -0,677 1,498 0,762 
57382984 -0,549 1,486 0,605 -0,661 1,503 0,741 
57383039 -0,544 1,486 0,605 -0,659 1,504 0,737 
57383158 -0,532 1,486 0,604 -0,650 1,508 0,726 
57383273 -0,524 1,486 0,604 -0,644 1,510 0,719 
57383348 -0,517 1,487 0,604 -0,638 1,513 0,714 
57383469 -0,506 1,487 0,604 -0,632 1,515 0,708 
57383541 -0,503 1,487 0,604 -0,627 1,517 0,703 
57383672 -0,490 1,488 0,604 -0,615 1,520 0,694 
57383789 -0,480 1,488 0,603 -0,607 1,521 0,690 
57383836 -0,477 1,488 0,603 -0,605 1,521 0,689 
57383956 -0,466 1,489 0,603 -0,596 1,520 0,688 
57384001 -0,462 1,489 0,603 -0,594 1,520 0,688 
57384143 -0,449 1,489 0,603 -0,587 1,520 0,687 
57384297 -0,437 1,490 0,603 -0,576 1,519 0,689 
57384347 -0,433 1,490 0,603 -0,573 1,518 0,689 
57384467 -0,423 1,490 0,597 -0,569 1,517 0,691 
57384586 -0,412 1,491 0,591 -0,564 1,516 0,692 
57384697 -0,403 1,491 0,585 -0,558 1,514 0,693 
57384776 -0,396 1,491 0,582 -0,547 1,512 0,696 
57384866 -0,388 1,492 0,577 -0,544 1,512 0,696 
57384989 -0,377 1,492 0,573 -0,534 1,508 0,696 
57385038 -0,374 1,492 0,573 -0,530 1,506 0,695 
57385205 -0,359 1,493 0,569 -0,523 1,502 0,692 
57385311 -0,351 1,493 0,564 -0,513 1,496 0,685 
57385355 -0,346 1,493 0,562 -0,509 1,493 0,681 
57385484 -0,335 1,494 0,556 -0,501 1,487 0,671 
57385537 -0,331 1,494 0,556 -0,498 1,485 0,667 
57385701 -0,318 1,494 0,556 -0,481 1,476 0,642 
57385830 -0,307 1,495 0,549 -0,474 1,474 0,631 
57385877 -0,303 1,495 0,547 -0,470 1,473 0,625 
57386031 -0,289 1,496 0,540 -0,457 1,472 0,609 
57386125 -0,281 1,496 0,535 -0,437 1,474 0,591 
57386219 -0,272 1,496 0,533 -0,433 1,475 0,589 
57386304 -0,265 1,496 0,533 -0,422 1,477 0,581 
57386400 -0,256 1,497 0,533 -0,406 1,479 0,572 
57386507 -0,248 1,497 0,532 -0,402 1,479 0,570 
57386562 -0,243 1,497 0,532 -0,382 1,480 0,562 
57386703 -0,230 1,498 0,532 -0,363 1,479 0,555 
57386819 -0,220 1,498 0,532 -0,352 1,478 0,551 
57386873 -0,216 1,498 0,532 -0,342 1,477 0,548 
57386960 -0,208 1,499 0,532 -0,326 1,477 0,543 
57387051 -0,201 1,499 0,531 -0,322 1,476 0,542 
57387206 -0,187 1,500 0,531 -0,291 1,475 0,536 
57387333 -0,175 1,500 0,531 -0,267 1,475 0,532 
57387373 -0,171 1,500 0,531 -0,262 1,475 0,532 
57387529 -0,158 1,501 0,531 -0,240 1,474 0,529 
57387615 -0,151 1,501 0,530 -0,230 1,474 0,528 
57387688 -0,143 1,501 0,530 -0,223 1,474 0,527 
57387800 -0,133 1,502 0,530 -0,212 1,474 0,525 
57387857 -0,128 1,502 0,530 -0,212 1,474 0,525 
57387999 -0,115 1,502 0,530 -0,212 1,474 0,525 
57388103 -0,107 1,503 0,530 -0,212 1,474 0,525 
57388200 -0,099 1,503 0,529 -0,202 1,473 0,523 
57388311 -0,088 1,503 0,529 -0,202 1,473 0,523 
57388403 -0,080 1,504 0,529 -0,202 1,473 0,523 
57388537 -0,070 1,504 0,529 -0,199 1,473 0,522 
57388619 -0,063 1,504 0,529 -0,190 1,472 0,519 
57388712 -0,055 1,505 0,529 -0,185 1,471 0,516 
57388801 -0,048 1,505 0,528 -0,178 1,470 0,512 
57388896 -0,040 1,505 0,528 -0,172 1,469 0,505 
57388980 -0,033 1,506 0,528 -0,171 1,468 0,502 
57389064 -0,026 1,506 0,528 -0,171 1,468 0,502 
57389194 -0,014 1,506 0,528 -0,157 1,457 0,492 
57389259 -0,009 1,507 0,528 -0,151 1,454 0,493 
57389438 0,006 1,507 0,527 -0,138 1,450 0,496 
57389544 0,014 1,507 0,532 -0,118 1,447 0,501 
57389601 0,019 1,508 0,535 -0,108 1,448 0,502 
57389733 0,027 1,508 0,540 -0,086 1,452 0,506 
57389791 0,034 1,508 0,545 -0,073 1,455 0,507 
57389921 0,046 1,509 0,553 -0,060 1,459 0,508 
57389966 0,049 1,509 0,555 -0,055 1,460 0,509 
57390095 0,060 1,509 0,562 -0,037 1,463 0,509 
57390243 0,071 1,510 0,568 -0,017 1,464 0,507 
57390305 0,076 1,510 0,568 -0,009 1,465 0,506 
57390414 0,086 1,510 0,568 0,016 1,465 0,502 
57390541 0,093 1,511 0,568 0,025 1,465 0,500 
57390618 0,098 1,511 0,568 0,034 1,464 0,498 
57390700 0,102 1,511 0,568 0,042 1,464 0,496 
57390785 0,106 1,511 0,568 0,056 1,463 0,493 
57390914 0,114 1,511 0,568 0,068 1,463 0,490 
57391009 0,119 1,512 0,567 0,072 1,463 0,489 
57391102 0,123 1,512 0,567 0,075 1,462 0,489 
57391234 0,130 1,512 0,567 0,083 1,461 0,488 
57391337 0,135 1,512 0,567 0,102 1,458 0,487 
57391449 0,140 1,512 0,567 0,114 1,455 0,488 
57391509 0,143 1,513 0,567 0,121 1,454 0,489 
57391650 0,150 1,513 0,567 0,138 1,451 0,492 
57391722 0,154 1,513 0,567 0,145 1,452 0,494 
57391805 0,158 1,513 0,567 0,150 1,454 0,496 
57391952 0,166 1,513 0,567 0,158 1,459 0,499 
57391985 0,168 1,514 0,567 0,160 1,461 0,499 
57392140 0,176 1,514 0,566 0,167 1,469 0,503 
57392225 0,180 1,514 0,566 0,167 1,469 0,503 
57392307 0,184 1,514 0,566 0,167 1,469 0,503 
57392425 0,189 1,514 0,566 0,169 1,473 0,504 
57392490 0,192 1,515 0,566 0,173 1,479 0,507 
57392631 0,200 1,515 0,566 0,178 1,491 0,511 
57392740 0,206 1,515 0,566 0,178 1,491 0,511 
57392830 0,211 1,515 0,566 0,178 1,491 0,511 
57392923 0,215 1,515 0,566 0,181 1,498 0,514 
57393056 0,221 1,516 0,565 0,183 1,515 0,522 
57393149 0,225 1,516 0,565 0,182 1,527 0,530 
57393232 0,229 1,516 0,565 0,180 1,533 0,534 
57393326 0,234 1,516 0,565 0,173 1,546 0,545 
57393437 0,237 1,516 0,565 0,152 1,558 0,568 
57393500 0,241 1,516 0,565 0,145 1,559 0,576 
57393641 0,248 1,517 0,565 0,134 1,558 0,587 
57393732 0,252 1,517 0,565 0,128 1,557 0,595 
57393855 0,258 1,517 0,565 0,122 1,551 0,603 
57393938 0,262 1,517 0,565 0,123 1,546 0,604 
57394032 0,266 1,517 0,565 0,127 1,541 0,602 
57394189 0,272 1,518 0,564 0,138 1,532 0,596 
57394237 0,276 1,518 0,564 0,143 1,529 0,593 
57394364 0,281 1,518 0,564 0,152 1,526 0,589 
57394416 0,284 1,518 0,564 0,155 1,525 0,587 
57394552 0,290 1,518 0,564 0,181 1,524 0,574 
57394626 0,292 1,518 0,564 0,184 1,524 0,572 
57394758 0,300 1,519 0,564 0,202 1,528 0,564 
57394850 0,304 1,519 0,564 0,208 1,530 0,562 
57394923 0,306 1,519 0,564 0,214 1,532 0,560 
57395066 0,306 1,519 0,564 0,230 1,537 0,558 
57395154 0,306 1,519 0,564 0,232 1,538 0,558 
57395255 0,306 1,519 0,564 0,242 1,539 0,562 
57395307 0,306 1,519 0,564 0,248 1,539 0,566 
57395435 0,306 1,519 0,564 0,253 1,537 0,572 
57395495 0,306 1,519 0,564 0,254 1,537 0,574 
57395658 0,306 1,519 0,564 0,259 1,532 0,584 
57395783 0,306 1,519 0,564 0,263 1,527 0,595 
57395811 0,306 1,519 0,564 0,263 1,527 0,595 
57395983 0,306 1,519 0,564 0,267 1,525 0,605 
57396083 0,306 1,519 0,564 0,269 1,525 0,609 
57396179 0,306 1,519 0,564 0,272 1,526 0,613 -122 -29 -66 -90 38 
57396255 0,306 1,519 0,564 0,274 1,526 0,615 -121 -29 -66 -90 38 
57396330 0,306 1,519 0,564 0,274 1,526 0,615 -121 -30 -66 -90 38 
57396449 0,306 1,519 0,564 0,277 1,526 0,618 -121 -30 -66 -90 38 
57396587 0,306 1,519 0,564 0,281 1,527 0,619 -121 -30 -66 -90 38 
57396665 0,306 1,519 0,564 0,281 1,529 0,619 -122 -30 -67 -90 38 
57396793 0,306 1,519 0,564 0,287 1,537 0,615 -122 -30 -67 -90 38 
57396883 0,306 1,519 0,564 0,286 1,533 0,611 -122 -29 -67 -90 38 
57396962 0,306 1,519 0,564 0,283 1,529 0,609 -123 -30 -67 -90 38 
57397055 0,306 1,519 0,564 0,275 1,519 0,606 -123 -30 -67 -90 38 
57397179 0,306 1,519 0,564 0,262 1,509 0,603 -123 -30 -67 -90 38 -124.00 -29.00 -66.00 -89.00 25.00
57397234 0,306 1,519 0,564 0,240 1,496 0,600 -122 -30 -67 -90 38 -121.00 -30.00 -64.00 -89.00 25.00
57397370 0,306 1,519 0,564 0,220 1,486 0,599 -122 -30 -67 -90 38 
57397502 0,306 1,519 0,564 0,160 1,468 0,598 -122 -30 -67 -90 38 -121.00 -31.00 -64.00 -89.00 25.00
57397559 0,306 1,519 0,564 0,101 1,460 0,600 -122 -30 -67 -90 38 -122.00 -31.00 -65.00 -89.00 25.00
57397654 0,306 1,519 0,564 0,092 1,460 0,600 -122 -29 -67 -90 38 -123.00 -31.00 -65.00 -89.00 25.00
57397796 0,306 1,519 0,564 -0,018 1,464 0,605 -123 -30 -67 -90 38 
57397873 0,306 1,519 0,564 -0,036 1,467 0,606 -122 -29 -67 -90 38 
57397954 0,306 1,519 0,564 -0,076 1,473 0,608 -122 -29 -67 -90 38 
57398065 0,306 1,519 0,564 -0,089 1,475 0,609 -122 -29 -67 -90 38 
57398164 0,306 1,519 0,564 -0,117 1,480 0,610 -122 -29 -67 -90 38 
57398292 0,306 1,519 0,564 -0,187 1,496 0,614 -122 -30 -67 -90 38 -122.00 -31.00 -66.00 -89.00 25.00
57398343 0,306 1,519 0,564 -0,196 1,498 0,614 -122 -29 -67 -90 38 -122.00 -31.00 -66.00 -89.00 25.00
57398507 0,306 1,519 0,564 -0,244 1,507 0,611 -122 -29 -67 -90 38 
57398655 0,306 1,519 0,564 -0,253 1,508 0,607 -122 -29 -67 -90 38 -122.00 -31.00 -66.00 -89.00 25.00
57398707 0,306 1,519 0,564 -0,252 1,508 0,604 -123 -29 -67 -90 38 -122.00 -31.00 -66.00 -89.00 25.00
57398835 0,306 1,519 0,564 -0,241 1,506 0,596 -123 -29 -67 -90 38 
57398891 0,306 1,519 0,564 -0,232 1,505 0,592 -123 -29 -67 -90 38 -122.00 -31.00 -66.00 -89.00 25.00
57399018 0,306 1,519 0,564 -0,206 1,502 0,584 -123 -29 -67 -90 38 
57399065 0,306 1,519 0,564 -0,199 1,501 0,582 -123 -29 -67 -90 38 
57399217 0,306 1,519 0,564 -0,159 1,497 0,572 -123 -29 -67 -90 38 
57399323 0,306 1,519 0,564 -0,127 1,495 0,566 -123 -29 -67 -90 38 
57399419 0,306 1,519 0,564 -0,106 1,493 0,562 -123 -29 -68 -90 38 
57399533 0,306 1,519 0,564 -0,081 1,492 0,558 -123 -29 -68 -90 38 
57399566 0,306 1,519 0,564 -0,081 1,492 0,558 -123 -29 -68 -90 38 
57399731 0,306 1,519 0,564 -0,031 1,490 0,552 -123 -29 -68 -90 38 
57399832 0,306 1,519 0,564 0,009 1,489 0,549 -123 -29 -67 -90 38 -122.00 -31.00 -66.00 -89.00 25.00
57399887 0,306 1,519 0,564 0,037 1,489 0,548 -123 -29 -68 -90 38 -122.00 -31.00 -65.00 -89.00 25.00
57400025 0,306 1,519 0,564 0,089 1,488 0,546 -123 -29 -68 -90 38 -123.00 -31.00 -65.00 -89.00 25.00
57400067 0,306 1,519 0,564 0,134 1,488 0,546 -123 -29 -68 -90 38 
57400238 0,306 1,519 0,564 0,184 1,488 0,549 -123 -30 -68 -90 38 -123.00 -31.00 -66.00 -89.00 25.00
57400339 0,306 1,519 0,564 0,221 1,487 0,552 -123 -30 -68 -90 38 
57400398 0,306 1,519 0,564 0,255 1,486 0,555 -123 -30 -68 -90 38 -123.00 -31.00 -66.00 -89.00 25.00
57400536 0,309 1,519 0,564 0,314 1,483 0,564 -123 -30 -68 -90 38 -123.00 -31.00 -66.00 -89.00 25.00
57400619 0,312 1,519 0,564 0,329 1,481 0,566 -123 -31 -68 -90 38 
