Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
-0,326 1,574 0,999 -0,444 1,594 1,051 -133 -50 -98 -90 38  
-0,326 1,574 0,999 -0,433 1,585 1,050 -138 -55 -108 -90 38  
-0,326 1,574 0,999 -0,426 1,579 1,048 -142 -56 -113 -90 38  
-0,326 1,574 0,999 -0,423 1,575 1,046 -144 -56 -115 -90 38  
-0,326 1,574 0,999 -0,415 1,571 1,040 -146 -55 -116 -90 38  
-0,326 1,574 0,999 -0,415 1,571 1,040 -147 -54 -116 -90 38  
-0,326 1,574 0,999 -0,409 1,572 1,033 -147 -52 -114 -90 38  
-0,326 1,574 0,999 -0,407 1,573 1,030 -147 -52 -114 -90 38  
-0,326 1,574 0,999 -0,404 1,576 1,022 -148 -51 -114 -90 38  
-0,326 1,574 0,999 -0,402 1,579 1,017 -147 -51 -113 -90 38  
-0,326 1,574 0,999 -0,401 1,580 1,014 -148 -51 -113 -90 38  
-0,326 1,574 0,999 -0,401 1,582 1,011 -148 -50 -112 -90 38  
-0,326 1,574 0,999 -0,399 1,585 1,005 -147 -47 -109 -90 38  
-0,326 1,574 0,999 -0,397 1,593 0,990 -145 -42 -103 -90 38  
-0,326 1,574 0,999 -0,397 1,604 0,973 -145 -39 -99 -90 38  
-0,326 1,574 0,999 -0,397 1,605 0,971 -144 -37 -96 -90 38  
-0,326 1,574 0,999 -0,401 1,621 0,960 -144 -36 -95 -90 38  
-0,326 1,574 0,999 -0,401 1,622 0,959 -143 -38 -96 -90 38  
-0,326 1,574 0,999 -0,402 1,625 0,960 -143 -37 -96 -90 38  
-0,326 1,574 0,999 -0,404 1,627 0,964 -143 -37 -96 -90 38  
-0,326 1,574 0,999 -0,404 1,627 0,964 -144 -38 -97 -90 38  
-0,326 1,574 0,999 -0,405 1,625 0,971 -144 -39 -98 -90 38  
